# Workload Parameters:
#   prob_get = 15, prob_set = 8, prob_del = 1, num_keys = 1000, val_size_dist = 0.08
#
# Server Parameters:
#   address = localhost, port = 4022, maxmem = 65536, threads = 16
#
# Sending 1048576 requests per client thread
#
# Threads  Mean Req/s  95% Latency (µs)
  1        14211       51.7
  4        33861       141.1
  8        34521       367.2
  12       138692      140.5
  16       174610      124.3
  20       188818      141.4
  24       195195      161.0
  28       200440      182.0
  32       212175      207.0
  36       227251      228.1
  40       231941      238.8
  44       233620      254.1
  48       233962      270.4
  52       233149      290.7
  56       231236      320.2
  60       230441      348.6
  64       229886      375.2
  68       228519      404.2
  72       226708      433.6
  76       226371      463.0
  80       226462      491.1
  84       226249      520.7
  88       226141      549.1
  92       225996      577.8
  96       225543      606.4
  100      225141      635.5
  104      222003      674.9
  108      224365      693.4
  112      224196      721.8
  116      223843      750.6
  120      223436      779.4
  124      223409      807.0
  128      222970      835.6
